customer_id,first_name,last_name,email,signup_date,country,city,acquisition_channel
44,Tyler,Hill,tyler.hill@gmail.com,2023-09-24,United States,Chicago,social_media
45,Daniel,Davis,daniel.davis@gmail.com,2024-05-02,United States,Austin,social_media
46,John,Lopez,john.lopez@outlook.com,2025-12-13,United States,,organic_search
47,William,Walker,william.walker@hotmail.com,2025-07-14,France,Paris,social_media
48,Brandon,Williams,brandon.williams@icloud.com,2023-05-05,United States,New York,affiliate
49,Rebecca,Ramirez,rebecca.ramirez@gmail.com,2023-05-31,United Kingdom,Leeds,direct
50,Carol,Hill,carol.hill@yahoo.com,2024-10-27,United States,Phoenix,paid_search
51,Scott,King,scott.king@outlook.com,2025-05-31,United Kingdom,Glasgow,organic_search
52,Carolyn,Davis,carolyn.davis@icloud.com,2025-05-30,Australia,Melbourne,social_media
53,Sandra,Clark,sandra.clark@outlook.com,2025-05-01,France,Toulouse,referral
54,Kenneth,Ramirez,kenneth.ramirez@outlook.com,2023-11-09,Germany,Hamburg,email
55,Jacob,Jones,jacob.jones@gmail.com,2025-06-03,Netherlands,Amsterdam,organic_search
56,Jack,White,jack.white@yahoo.com,2024-11-06,Canada,Ottawa,email
57,Edward,Thompson,edward.thompson@hotmail.com,2023-04-16,Netherlands,Utrecht,affiliate
58,Scott,Martin,scott.martin@outlook.com,2024-03-11,United States,Miami,organic_search
59,Amy,Anderson,amy.anderson@gmail.com,2025-01-22,United States,Miami,organic_search
60,Emily,Torres,emily.torres@yahoo.com,2024-07-01,France,Paris,organic_search
61,Andrew,Hall,andrew.hall@outlook.com,2023-01-13,India,Bangalore,organic_search
62,Charles,Torres,charles.torres@hotmail.com,2023-07-07,United States,New York,referral
63,Margaret,Harris,margaret.harris@hotmail.com,2025-01-27,United Kingdom,Manchester,paid_search
64,Carol,Roberts,carol.roberts@icloud.com,2023-11-15,Canada,Toronto,organic_search
65,Samantha,Brown,samantha.brown@gmail.com,2025-09-21,United States,Seattle,email
66,Sharon,Moore,sharon.moore@yahoo.com,2024-12-07,Australia,Sydney,social_media
67,Paul,Baker,paul.baker@icloud.com,2024-09-23,United Kingdom,Bristol,organic_search
68,Ronald,Hill,ronald.hill@gmail.com,2024-03-08,United States,Phoenix,referral
69,Heather,Taylor,heather.taylor@outlook.com,2025-10-15,United States,New York,referral
70,Daniel,Rodriguez,daniel.rodriguez@hotmail.com,2025-10-21,Canada,Vancouver,social_media
71,Debra,Thompson,debra.thompson@gmail.com,2025-06-12,United States,New York,organic_search
72,Elizabeth,Lee,elizabeth.lee@icloud.com,2025-05-05,United Kingdom,Leeds,paid_search
73,Rebecca,Johnson,rebecca.johnson@outlook.com,2025-07-31,United States,Boston,direct
74,George,Garcia,george.garcia@hotmail.com,2025-06-11,Netherlands,Amsterdam,social_media
75,Anna,Garcia,anna.garcia@hotmail.com,2024-11-26,Brazil,Brasilia,paid_search
76,Diane,Hernandez,diane.hernandez@gmail.com,2025-12-22,United Kingdom,London,social_media
77,Diane,Thompson,diane.thompson@outlook.com,2024-04-28,Australia,Melbourne,organic_search
78,Steven,Gonzalez,steven.gonzalez@yahoo.com,2023-12-29,Canada,Toronto,affiliate
79,Benjamin,Young,benjamin.young@hotmail.com,2024-10-23,Australia,Perth,direct
80,Benjamin,Lee,benjamin.lee@yahoo.com,2025-06-24,United Kingdom,Leeds,email
81,Julie,Moore,julie.moore@icloud.com,2023-06-01,United States,Miami,paid_search
82,Cynthia,Williams,cynthia.williams@gmail.com,2023-06-07,United States,Phoenix,email
83,Barbara,Flores,barbara.flores@icloud.com,2023-03-26,United Kingdom,Leeds,social_media
84,Emma,Adams,emma.adams@yahoo.com,2025-10-23,United States,Denver,organic_search
85,Linda,Lewis,linda.lewis@gmail.com,2023-06-22,France,Marseille,social_media
86,Daniel,Williams,daniel.williams@yahoo.com,2025-12-09,Australia,Perth,social_media
87,Christopher,White,christopher.white@outlook.com,2025-04-17,India,Hyderabad,referral
88,Gregory,Hill,gregory.hill@gmail.com,2023-05-15,France,Marseille,paid_search
89,Pamela,Baker,pamela.baker@hotmail.com,2023-11-04,United States,Boston,paid_search
90,Justin,Nelson,justin.nelson@yahoo.com,2025-03-13,India,Bangalore,organic_search
91,Alexander,Garcia,alexander.garcia@outlook.com,2023-09-19,Canada,Montreal,email
92,Jack,Baker,jack.baker@icloud.com,2025-11-07,United States,Seattle,paid_search
93,George,Martin,george.martin@yahoo.com,2025-09-22,India,Bangalore,organic_search
94,Sarah,Martinez,sarah.martinez@gmail.com,2025-11-05,United States,Los Angeles,referral
95,Jack,King,jack.king@gmail.com,2023-09-26,Germany,Cologne,social_media
96,Karen,Hernandez,karen.hernandez@yahoo.com,2023-12-06,Netherlands,Utrecht,referral
97,Jennifer,Clark,jennifer.clark@outlook.com,2025-06-28,Germany,Munich,email
98,Dennis,Mitchell,dennis.mitchell@hotmail.com,2024-09-25,United States,Houston,affiliate
99,Tyler,Walker,tyler.walker@yahoo.com,2025-06-21,United States,Boston,social_media
100,Paul,Roberts,paul.roberts@hotmail.com,2023-11-28,United Kingdom,Leeds,referral
101,Helen,Rodriguez,helen.rodriguez@outlook.com,2025-01-30,United States,Denver,social_media
102,Susan,Rivera,susan.rivera@icloud.com,2023-06-21,Netherlands,Rotterdam,referral
103,Andrew,Lewis,andrew.lewis@icloud.com,2023-07-07,United States,Seattle,direct
104,Mark,Lewis,mark.lewis@outlook.com,2023-04-20,India,Hyderabad,paid_search
105,Deborah,Thomas,deborah.thomas@hotmail.com,2024-04-04,Mexico,Guadalajara,organic_search
106,Richard,Rivera,richard.rivera@outlook.com,2023-03-20,France,Lyon,paid_search
107,Jacob,Hall,jacob.hall@yahoo.com,2025-07-07,Australia,Perth,email
108,David,Johnson,david.johnson@outlook.com,2025-12-16,United States,Chicago,social_media
109,Diane,Jackson,diane.jackson@yahoo.com,2024-05-03,United States,New York,social_media
110,Julie,Flores,julie.flores@hotmail.com,2023-02-03,United States,Denver,email
111,Emma,Thomas,emma.thomas@yahoo.com,2024-12-23,United States,New York,paid_search
112,Sharon,Lopez,sharon.lopez@gmail.com,2023-05-19,Canada,Montreal,affiliate
113,Brenda,Allen,brenda.allen@icloud.com,2025-08-20,Canada,Calgary,organic_search
114,Stephanie,White,stephanie.white@outlook.com,2023-05-19,Australia,Brisbane,paid_search
115,Maria,Nelson,maria.nelson@gmail.com,2023-10-01,France,Marseille,organic_search
116,Brenda,Perez,brenda.perez@yahoo.com,2025-08-09,Netherlands,Utrecht,affiliate
117,Amy,Green,amy.green@yahoo.com,2025-07-26,France,Paris,organic_search
118,Betty,Williams,betty.williams@yahoo.com,2024-09-27,Brazil,Rio de Janeiro,social_media
119,Brenda,Walker,brenda.walker@outlook.com,2024-08-08,United States,Houston,paid_search
120,Diane,Brown,diane.brown@outlook.com,2025-06-13,United States,Austin,direct
121,Olivia,Lewis,olivia.lewis@hotmail.com,2025-10-13,United States,Chicago,email
122,Deborah,King,deborah.king@outlook.com,2023-06-11,France,Toulouse,social_media
123,Lisa,Wright,lisa.wright@outlook.com,2024-11-02,United States,Los Angeles,email
124,Michelle,Lewis,michelle.lewis@icloud.com,2025-06-28,Australia,Melbourne,paid_search
125,Jennifer,Campbell,jennifer.campbell@outlook.com,2024-07-16,Canada,Calgary,email
126,Julie,Brown,julie.brown@gmail.com,2025-01-14,Germany,Frankfurt,social_media
127,Olivia,Baker,olivia.baker@yahoo.com,2025-06-16,India,Delhi,organic_search
128,William,Thomas,william.thomas@outlook.com,2023-03-08,United States,Boston,email
129,Gregory,Lewis,gregory.lewis@outlook.com,2023-10-09,United States,Los Angeles,social_media
130,Ronald,Lee,ronald.lee@outlook.com,2023-02-23,United States,Los Angeles,referral
131,Angela,King,angela.king@hotmail.com,2024-06-20,India,Mumbai,referral
132,Alexander,Lewis,alexander.lewis@yahoo.com,2025-10-02,Mexico,Guadalajara,organic_search
133,Sarah,Jones,sarah.jones@hotmail.com,2023-06-29,United States,Denver,referral
134,Kenneth,Nelson,kenneth.nelson@outlook.com,2024-09-06,Australia,Brisbane,direct
135,Janet,Rivera,janet.rivera@yahoo.com,2023-09-06,France,Lyon,affiliate
136,Julie,Rodriguez,julie.rodriguez@yahoo.com,2025-01-09,France,Paris,social_media
137,Deborah,Robinson,deborah.robinson@icloud.com,2023-05-15,United States,Los Angeles,paid_search
138,Janet,Campbell,janet.campbell@hotmail.com,2023-06-01,Canada,Calgary,organic_search
139,Kenneth,Adams,kenneth.adams@gmail.com,2025-11-25,United Kingdom,Bristol,paid_search
140,Diane,Scott,diane.scott@icloud.com,2025-06-05,United States,Chicago,social_media
141,Linda,Davis,linda.davis@icloud.com,2023-11-28,United States,Chicago,paid_search
142,Alexander,Anderson,alexander.anderson@outlook.com,2023-06-11,India,Bangalore,paid_search
143,Katherine,Scott,katherine.scott@outlook.com,2025-12-28,United States,Phoenix,organic_search
144,Samuel,Hernandez,samuel.hernandez@icloud.com,2023-12-17,India,Delhi,email
145,Patrick,Hill,patrick.hill@outlook.com,2023-03-26,Netherlands,Utrecht,direct
146,Patricia,Garcia,patricia.garcia@gmail.com,2024-03-07,India,Bangalore,referral
147,Sharon,Flores,sharon.flores@gmail.com,2024-08-16,United Kingdom,Bristol,email
148,Joshua,Walker,joshua.walker@yahoo.com,2024-09-01,France,Toulouse,social_media
149,Raymond,Brown,raymond.brown@yahoo.com,2025-08-09,United Kingdom,Leeds,organic_search
150,Helen,Martinez,helen.martinez@outlook.com,2024-12-08,Netherlands,Rotterdam,affiliate
151,Thomas,Carter,thomas.carter@outlook.com,2024-10-15,United Kingdom,London,paid_search
152,Jessica,Moore,jessica.moore@hotmail.com,2023-04-14,United States,Los Angeles,paid_search
153,Stephanie,Flores,stephanie.flores@hotmail.com,2024-11-01,United States,Chicago,direct
154,Patrick,Lee,patrick.lee@yahoo.com,2025-11-20,Australia,Perth,social_media
155,Michelle,Young,michelle.young@gmail.com,2025-11-01,United States,Seattle,social_media
156,Donald,Wilson,donald.wilson@icloud.com,2024-07-30,United States,New York,social_media
157,Christine,Baker,christine.baker@hotmail.com,2023-08-09,United States,New York,social_media
158,Kimberly,Campbell,kimberly.campbell@outlook.com,2023-04-03,Australia,Brisbane,social_media
159,Larry,Scott,larry.scott@yahoo.com,2023-05-31,United States,Phoenix,paid_search
160,Cynthia,Carter,cynthia.carter@icloud.com,2023-09-01,United States,Boston,organic_search
161,Richard,Sanchez,richard.sanchez@outlook.com,2025-01-18,France,Marseille,referral
162,Betty,Hill,betty.hill@icloud.com,2023-04-03,United Kingdom,London,organic_search
163,Janet,Perez,janet.perez@hotmail.com,2025-11-21,United Kingdom,Manchester,organic_search
164,Brandon,Lee,brandon.lee@yahoo.com,2024-09-04,United States,Boston,social_media
165,Nicholas,Allen,nicholas.allen@icloud.com,2024-09-05,United Kingdom,Glasgow,social_media
166,John,White,john.white@outlook.com,2024-09-22,Germany,Frankfurt,referral
167,Patrick,Hall,patrick.hall@gmail.com,2024-04-11,Canada,Montreal,referral
168,Justin,Walker,justin.walker@yahoo.com,2025-02-17,Canada,Ottawa,organic_search
169,Rachel,Thomas,rachel.thomas@gmail.com,2024-01-26,Canada,Toronto,organic_search
170,Kenneth,Clark,kenneth.clark@yahoo.com,2025-04-20,United Kingdom,Manchester,social_media
171,Brandon,Walker,brandon.walker@gmail.com,2024-10-27,Australia,Melbourne,affiliate
172,Amy,King,amy.king@hotmail.com,2025-07-30,United States,Chicago,direct
173,Amanda,Wright,amanda.wright@outlook.com,2025-09-18,Germany,Hamburg,organic_search
174,Ashley,Moore,ashley.moore@icloud.com,2024-08-14,United States,Phoenix,email
175,Raymond,Rivera,raymond.rivera@hotmail.com,2024-07-14,United States,Austin,paid_search
176,Emma,Baker,emma.baker@icloud.com,2024-12-07,United States,Seattle,affiliate
177,Charles,Jackson,charles.jackson@gmail.com,2024-12-10,United States,Los Angeles,direct
178,Christine,Taylor,christine.taylor@hotmail.com,2024-07-09,United States,Miami,direct
179,Carolyn,Moore,carolyn.moore@yahoo.com,2024-05-05,United States,Boston,paid_search
180,Debra,King,debra.king@yahoo.com,2023-07-25,Germany,Berlin,social_media
181,Janet,Walker,janet.walker@gmail.com,2023-01-11,Germany,Munich,affiliate
182,Christopher,Clark,christopher.clark@hotmail.com,2024-08-11,United Kingdom,Manchester,paid_search
183,Samuel,Brown,samuel.brown@gmail.com,2025-12-31,Germany,Munich,referral
184,Robert,Lopez,robert.lopez@hotmail.com,2023-03-16,Brazil,Sao Paulo,affiliate
185,Ronald,Young,ronald.young@yahoo.com,2023-03-18,India,Bangalore,organic_search
186,Larry,Hill,larry.hill@gmail.com,2024-08-05,India,Bangalore,social_media
187,Samuel,Wright,samuel.wright@icloud.com,2025-10-29,United Kingdom,Manchester,social_media
188,Matthew,Davis,matthew.davis@outlook.com,2024-06-10,United States,Denver,email
189,Mary,Mitchell,mary.mitchell@outlook.com,2023-12-26,France,Lyon,email
190,Katherine,Sanchez,katherine.sanchez@hotmail.com,2025-03-31,United Kingdom,London,email
191,Lisa,Rodriguez,lisa.rodriguez@hotmail.com,2023-01-14,United States,Houston,paid_search
192,Donald,Lewis,donald.lewis@outlook.com,2023-01-24,India,Bangalore,paid_search
193,George,Hall,george.hall@yahoo.com,2025-08-11,United States,Los Angeles,paid_search
194,Rebecca,Baker,rebecca.baker@icloud.com,2023-08-29,India,Bangalore,email
195,Donna,White,donna.white@icloud.com,2025-09-06,United States,Chicago,organic_search
196,Olivia,Hill,olivia.hill@outlook.com,2025-08-22,United Kingdom,Glasgow,referral
197,Debra,Wilson,debra.wilson@yahoo.com,2023-06-17,Germany,Cologne,social_media
198,Anna,Rivera,anna.rivera@outlook.com,2023-08-18,United States,Boston,organic_search
199,Stephen,Allen,stephen.allen@yahoo.com,2023-12-03,Canada,Vancouver,paid_search
200,Eric,Lewis,eric.lewis@gmail.com,2025-09-28,Germany,Cologne,organic_search
201,Shirley,Lewis,shirley.lewis@gmail.com,2025-04-30,United Kingdom,Glasgow,social_media
202,Linda,Scott,linda.scott@hotmail.com,2023-02-14,Germany,Hamburg,paid_search
203,James,Mitchell,james.mitchell@yahoo.com,2025-05-17,Canada,Toronto,paid_search
204,William,Wright,william.wright@gmail.com,2025-08-24,India,Mumbai,organic_search
205,Edward,Lopez,edward.lopez@yahoo.com,2025-02-05,Australia,Perth,affiliate
206,Timothy,Lewis,timothy.lewis@hotmail.com,2023-09-30,United States,Miami,email
207,Brian,Davis,brian.davis@yahoo.com,2025-12-19,Mexico,Guadalajara,organic_search
208,Mark,Smith,mark.smith@gmail.com,2025-05-18,Mexico,Guadalajara,social_media
209,Sandra,Thomas,sandra.thomas@hotmail.com,2024-01-22,United States,Phoenix,direct
210,Patrick,Carter,patrick.carter@gmail.com,2023-02-02,United States,Seattle,paid_search
211,William,Miller,william.miller@icloud.com,2023-04-10,United States,Boston,paid_search
212,Jennifer,Sanchez,jennifer.sanchez@hotmail.com,2023-04-26,United States,Houston,organic_search
213,Donna,Anderson,donna.anderson@icloud.com,2024-10-18,United States,Boston,paid_search
214,Charles,Nelson,charles.nelson@icloud.com,2024-07-17,United States,Phoenix,organic_search
215,Nicole,Mitchell,nicole.mitchell@yahoo.com,2025-10-12,Germany,Frankfurt,organic_search
216,Brian,Adams,brian.adams@hotmail.com,2025-05-02,France,Marseille,social_media
217,Joshua,Harris,joshua.harris@yahoo.com,2024-05-08,Australia,Perth,direct
218,Joshua,Rivera,joshua.rivera@yahoo.com,2025-04-25,France,Paris,affiliate
219,Pamela,King,pamela.king@yahoo.com,2024-02-21,United States,Phoenix,paid_search
220,David,Lewis,david.lewis@outlook.com,2023-04-16,United States,Houston,paid_search
221,Gregory,Hill,gregory.hill@icloud.com,2024-01-21,United States,Los Angeles,referral
222,Nicole,Campbell,nicole.campbell@icloud.com,2024-11-12,United States,,paid_search
223,Mary,Wilson,mary.wilson@yahoo.com,2025-09-07,Mexico,Mexico City,direct
224,Carolyn,Hill,carolyn.hill@yahoo.com,2024-10-20,United States,Houston,referral
225,Timothy,Robinson,timothy.robinson@icloud.com,2024-06-19,Germany,Hamburg,paid_search
226,Angela,Robinson,angela.robinson@gmail.com,2024-10-17,France,Toulouse,direct
227,Deborah,Lee,deborah.lee@hotmail.com,2023-10-26,United States,Houston,organic_search
228,Stephen,Nguyen,stephen.nguyen@icloud.com,2023-11-09,Australia,Brisbane,organic_search
229,Sandra,Harris,sandra.harris@icloud.com,2024-11-22,Netherlands,Rotterdam,paid_search
230,Gary,Campbell,gary.campbell@hotmail.com,2024-12-22,United Kingdom,Bristol,organic_search
231,Patrick,Wright,patrick.wright@hotmail.com,2023-05-01,United States,Miami,social_media
232,Elizabeth,Nelson,elizabeth.nelson@gmail.com,2023-10-09,Australia,Perth,direct
233,Sandra,Jones,sandra.jones@yahoo.com,2025-07-22,United States,Miami,paid_search
234,Samantha,Green,samantha.green@icloud.com,2023-02-02,India,Hyderabad,organic_search
235,Stephen,Clark,stephen.clark2@gmail.com,2024-08-10,Canada,Montreal,organic_search
236,Carolyn,Baker,carolyn.baker@hotmail.com,2023-08-08,France,Lyon,direct
237,Anna,Martinez,anna.martinez@yahoo.com,2024-05-31,United States,Miami,referral
238,Andrew,Sanchez,andrew.sanchez@gmail.com,2025-07-29,United States,Seattle,social_media
239,Carolyn,Anderson,carolyn.anderson@outlook.com,2023-03-06,Germany,Berlin,organic_search
240,Timothy,Harris,timothy.harris@icloud.com,2023-01-20,United Kingdom,Bristol,email
241,David,Young,david.young@hotmail.com,2023-07-15,Germany,Hamburg,direct
242,Jennifer,Anderson,jennifer.anderson@yahoo.com,2025-08-31,Brazil,Brasilia,paid_search
243,Elizabeth,Baker,elizabeth.baker@outlook.com,2023-03-09,Brazil,Brasilia,organic_search
244,Kenneth,Johnson,kenneth.johnson@yahoo.com,2023-06-07,Canada,Calgary,paid_search
245,Larry,Thomas,larry.thomas@icloud.com,2024-11-10,Netherlands,Rotterdam,paid_search
246,Jack,Rodriguez,jack.rodriguez@gmail.com,2023-04-20,United Kingdom,Birmingham,organic_search
247,Sandra,Jones,sandra.jones@outlook.com,2025-03-23,Canada,Ottawa,affiliate
248,Carol,Johnson,carol.johnson@outlook.com,2025-10-01,France,Toulouse,paid_search
249,Stephen,Harris,stephen.harris@hotmail.com,2025-02-17,United States,Boston,organic_search
250,Samantha,Jackson,samantha.jackson@yahoo.com,2024-07-02,Australia,Sydney,organic_search
251,Janet,Green,janet.green@yahoo.com,2025-01-08,Australia,Brisbane,organic_search
252,James,Martin,james.martin@hotmail.com,2023-07-29,United States,Phoenix,organic_search
253,Lisa,Ramirez,lisa.ramirez@hotmail.com,2025-04-15,Canada,Ottawa,organic_search
254,Barbara,Thompson,barbara.thompson@icloud.com,2024-10-26,United States,Boston,direct
255,Mary,Jackson,mary.jackson@hotmail.com,2024-05-12,United States,Los Angeles,social_media
256,Nancy,Baker,nancy.baker@hotmail.com,2024-09-08,United States,Phoenix,paid_search
257,Charles,Jones,charles.jones@yahoo.com,2024-09-05,United Kingdom,Leeds,social_media
258,Elizabeth,White,elizabeth.white@outlook.com,2024-02-05,India,Hyderabad,social_media
259,Sarah,Martin,sarah.martin@gmail.com,2025-02-17,India,Bangalore,referral
260,Kevin,Lewis,kevin.lewis@outlook.com,2023-10-06,United Kingdom,Bristol,paid_search
261,Helen,Hall,helen.hall@yahoo.com,2025-03-26,United Kingdom,Manchester,affiliate
262,Donna,Mitchell,donna.mitchell@hotmail.com,2024-10-29,Mexico,Mexico City,paid_search
263,Tyler,Sanchez,tyler.sanchez@outlook.com,2024-02-14,United States,Boston,social_media
264,Brenda,Lopez,brenda.lopez@icloud.com,2024-03-05,United States,Denver,social_media
265,Donna,Hall,donna.hall@gmail.com,2025-10-19,France,Toulouse,organic_search
266,Joshua,Thomas,joshua.thomas@outlook.com,2025-02-11,Germany,Frankfurt,organic_search
267,Scott,Walker,scott.walker@icloud.com,2025-05-06,United Kingdom,Glasgow,social_media
268,Julie,White,julie.white@icloud.com,2023-08-12,Canada,Toronto,referral
269,Frank,Nelson,frank.nelson@outlook.com,2023-04-01,United States,Boston,social_media
270,Samuel,Baker,samuel.baker@hotmail.com,2025-05-31,Mexico,Guadalajara,organic_search
271,Richard,Taylor,richard.taylor@yahoo.com,2024-03-28,United Kingdom,Glasgow,social_media
272,Ronald,Robinson,ronald.robinson@icloud.com,2024-12-07,Germany,Munich,affiliate
273,Amy,Miller,amy.miller@outlook.com,2023-08-26,United Kingdom,London,direct
274,Maria,Martinez,maria.martinez@outlook.com,2024-02-28,United States,Denver,social_media
275,Brian,Walker,brian.walker@gmail.com,2025-07-15,United Kingdom,Bristol,paid_search
276,Joshua,Williams,joshua.williams@gmail.com,2023-08-12,United States,Austin,email
277,Nancy,Mitchell,nancy.mitchell@yahoo.com,2023-11-24,United Kingdom,Glasgow,paid_search
278,Jason,Robinson,jason.robinson@yahoo.com,2024-01-17,France,Lyon,email
279,Laura,Sanchez,laura.sanchez@gmail.com,2025-07-09,Australia,Melbourne,social_media
280,Stephanie,Smith,stephanie.smith@yahoo.com,2023-07-28,United States,Los Angeles,referral
281,Jonathan,Lopez,jonathan.lopez@outlook.com,2023-08-22,United States,Denver,paid_search
282,Gary,King,gary.king@outlook.com,2025-03-14,Canada,Ottawa,social_media
283,Brian,Thompson,brian.thompson@hotmail.com,2023-06-23,Canada,Montreal,email
284,Kenneth,Davis,kenneth.davis@yahoo.com,2025-02-03,United States,Chicago,email
285,Shirley,Harris,shirley.harris@hotmail.com,2025-02-24,Canada,Ottawa,social_media
286,Gary,Green,gary.green@icloud.com,2023-12-08,Germany,Munich,social_media
287,Sarah,Lopez,sarah.lopez@outlook.com,2023-04-20,Netherlands,Utrecht,direct
288,Mary,Young,mary.young@yahoo.com,2025-11-01,United States,Seattle,email
289,Edward,Baker,edward.baker@hotmail.com,2025-09-27,United Kingdom,Leeds,organic_search
290,Larry,Johnson,larry.johnson@yahoo.com,2024-04-05,United States,Phoenix,social_media
291,Nancy,Roberts,nancy.roberts@hotmail.com,2025-11-12,Canada,Calgary,organic_search
292,Joseph,Moore,joseph.moore@icloud.com,2023-03-27,France,Marseille,referral
293,Jeffrey,Wright,jeffrey.wright@yahoo.com,2024-05-21,Mexico,Mexico City,paid_search
294,Robert,Lewis,robert.lewis@outlook.com,2025-06-18,United States,Los Angeles,direct
295,Jessica,Roberts,jessica.roberts@yahoo.com,2024-12-19,United States,Boston,direct
296,Brandon,Green,brandon.green@hotmail.com,2024-02-28,United States,Chicago,referral
297,Linda,Torres,linda.torres@outlook.com,2023-12-11,Canada,Ottawa,paid_search
298,Alexander,Jackson,alexander.jackson@outlook.com,2023-07-15,Canada,Ottawa,organic_search
299,Dennis,Clark,dennis.clark@gmail.com,2023-09-17,Mexico,Monterrey,email
300,Thomas,Thomas,thomas.thomas@yahoo.com,2025-03-15,Australia,Melbourne,social_media
301,Emma,Green,emma.green@outlook.com,2025-07-14,Germany,Frankfurt,organic_search
302,Julie,Roberts,julie.roberts@gmail.com,2024-07-23,United Kingdom,Bristol,email
303,Deborah,Robinson,deborah.robinson@hotmail.com,2023-07-10,United States,New York,referral
304,Ryan,Green,ryan.green@outlook.com,2025-03-25,Netherlands,Utrecht,organic_search
305,Jason,Wilson,jason.wilson@hotmail.com,2024-11-22,United States,Phoenix,social_media
306,Thomas,Torres,thomas.torres@hotmail.com,2023-04-05,France,Paris,organic_search
307,Tyler,Robinson,tyler.robinson@gmail.com,2025-06-22,United States,Chicago,social_media
308,Jason,Gonzalez,jason.gonzalez@yahoo.com,2023-11-22,Brazil,Rio de Janeiro,direct
309,Emily,Garcia,emily.garcia@outlook.com,2023-12-05,United States,Austin,organic_search
310,Benjamin,Martin,benjamin.martin@yahoo.com,2023-07-14,United Kingdom,London,organic_search
311,Amy,Jones,amy.jones@yahoo.com,2025-06-30,Canada,Ottawa,organic_search
312,Carolyn,Perez,carolyn.perez@gmail.com,2023-09-28,Mexico,Guadalajara,social_media
